"taxa","original_ID","database_ID"
"Lappula squarrosa","vinedivers144","AT_VINEDIVERS"
"Lathyrus nissolia","vinedivers145","AT_VINEDIVERS"
"Lathyrus sylvestris","vinedivers146","AT_VINEDIVERS"
"Lathyrus tuberosus","vinedivers147","AT_VINEDIVERS"
"Lathyrus sp","vinedivers148","AT_VINEDIVERS"
"Leontodon autumnalis","vinedivers149","AT_VINEDIVERS"
"Lepidium campestre","vinedivers150","AT_VINEDIVERS"
"Leucanthemum vulgare","vinedivers151","AT_VINEDIVERS"
"Liliaceae","vinedivers152","AT_VINEDIVERS"
"Linaria amethystea","vinedivers153","AT_VINEDIVERS"
"Lolium multiflorum","vinedivers154","AT_VINEDIVERS"
"Lolium perenne","vinedivers155","AT_VINEDIVERS"
"Lotus corniculatus","vinedivers156","AT_VINEDIVERS"
"Malva neglecta","vinedivers157","AT_VINEDIVERS"
"Malva sp.","vinedivers158","AT_VINEDIVERS"
"Malva sylvestris","vinedivers159","AT_VINEDIVERS"
"Matricaria matricarioides","vinedivers160","AT_VINEDIVERS"
"Medicago arabica","vinedivers161","AT_VINEDIVERS"
"Medicago lupulina","vinedivers162","AT_VINEDIVERS"
"Medicago minima","vinedivers163","AT_VINEDIVERS"
"Medicago sativa","vinedivers164","AT_VINEDIVERS"
"Medicago sp.","vinedivers165","AT_VINEDIVERS"
"Melilotus sp","vinedivers166","AT_VINEDIVERS"
"Melilotus officinalis","vinedivers167","AT_VINEDIVERS"
"Mentha longifolia","vinedivers168","AT_VINEDIVERS"
"Mercurialis annua","vinedivers169","AT_VINEDIVERS"
"Mibora minima","vinedivers170","AT_VINEDIVERS"
"Muscari neglectum","vinedivers171","AT_VINEDIVERS"
"Muscari racemosum","vinedivers172","AT_VINEDIVERS"
"Myosotis arvensis","vinedivers173","AT_VINEDIVERS"
"Odontites vernus agg.","vinedivers174","AT_VINEDIVERS"
"Onobrychis viciifolia","vinedivers175","AT_VINEDIVERS"
"Onopordum acanthium","vinedivers176","AT_VINEDIVERS"
"Oreganum vulgare","vinedivers177","AT_VINEDIVERS"
"Ornithogalum umbellatum","vinedivers178","AT_VINEDIVERS"
"Papaver dubium","vinedivers179","AT_VINEDIVERS"
"Papaver rhoeas","vinedivers180","AT_VINEDIVERS"
"Papaver sp.","vinedivers181","AT_VINEDIVERS"
"Pastinaca sativa","vinedivers182","AT_VINEDIVERS"
"Phalaris paradoxa","vinedivers183","AT_VINEDIVERS"
"Phleum pratense","vinedivers184","AT_VINEDIVERS"
"Picris echioides","vinedivers185","AT_VINEDIVERS"
"Picris hieracioides","vinedivers186","AT_VINEDIVERS"
"Plantago albicans","vinedivers187","AT_VINEDIVERS"
"Plantago coronopus","vinedivers188","AT_VINEDIVERS"
"Plantago lanceolata","vinedivers189","AT_VINEDIVERS"
"Plantago major","vinedivers190","AT_VINEDIVERS"
"Poa annua","vinedivers191","AT_VINEDIVERS"
"Poa pratensis","vinedivers192","AT_VINEDIVERS"
"Poa trivialis","vinedivers193","AT_VINEDIVERS"
"Poaceae","vinedivers194","AT_VINEDIVERS"
"Polygonum aviculare","vinedivers195","AT_VINEDIVERS"
"Polygonum persicaria","vinedivers196","AT_VINEDIVERS"
"Portulaca oleracea","vinedivers197","AT_VINEDIVERS"
"Potentilla reptans","vinedivers198","AT_VINEDIVERS"
"Potentilla sp.","vinedivers199","AT_VINEDIVERS"
"Prunella vulgaris","vinedivers200","AT_VINEDIVERS"
"Prunus avium","vinedivers201","AT_VINEDIVERS"
"Prunus spinosa","vinedivers202","AT_VINEDIVERS"
"Prunus sp.","vinedivers203","AT_VINEDIVERS"
"Quercus pubescens","vinedivers204","AT_VINEDIVERS"
"Quercus robur","vinedivers205","AT_VINEDIVERS"
"Ranunculus bulbosus","vinedivers206","AT_VINEDIVERS"
"Ranunculus parviflorus","vinedivers207","AT_VINEDIVERS"
"Rorippa sylvestris","vinedivers208","AT_VINEDIVERS"
"Rosa canina","vinedivers209","AT_VINEDIVERS"
"Rosa sp.","vinedivers210","AT_VINEDIVERS"
"Rumex acetosa","vinedivers211","AT_VINEDIVERS"
"Rumex acetosella","vinedivers212","AT_VINEDIVERS"
"Rumex crispus","vinedivers213","AT_VINEDIVERS"
"Rumex sp.","vinedivers214","AT_VINEDIVERS"
"Sagina apetala","vinedivers215","AT_VINEDIVERS"
"Salvia verticillata","vinedivers216","AT_VINEDIVERS"
"Sanguisorba minor","vinedivers217","AT_VINEDIVERS"
"Sanguisorba minor subsp. verrucosa","vinedivers218","AT_VINEDIVERS"
"Sclerochloa dura","vinedivers219","AT_VINEDIVERS"
"Secale cereale","vinedivers220","AT_VINEDIVERS"
"Senecio jacobaea","vinedivers221","AT_VINEDIVERS"
"Senecio vulgaris","vinedivers222","AT_VINEDIVERS"
"Setaria pumila","vinedivers223","AT_VINEDIVERS"
"Setaria viridis","vinedivers224","AT_VINEDIVERS"
"Setaria sp.","vinedivers225","AT_VINEDIVERS"
"Setaria verticillata","vinedivers226","AT_VINEDIVERS"
"Sheradia arvensis","vinedivers227","AT_VINEDIVERS"
"Silene alba","vinedivers228","AT_VINEDIVERS"
"Silene vulgaris","vinedivers229","AT_VINEDIVERS"
"Silene sp.","vinedivers230","AT_VINEDIVERS"
"Silybum marianum","vinedivers231","AT_VINEDIVERS"
"Sinapis alba","vinedivers232","AT_VINEDIVERS"
"Sinapis sp.","vinedivers233","AT_VINEDIVERS"
"Solanum lycopersicum","vinedivers234","AT_VINEDIVERS"
"Solanum nigrum","vinedivers235","AT_VINEDIVERS"
"Sonchus asper","vinedivers236","AT_VINEDIVERS"
"Sonchus oleraceus","vinedivers237","AT_VINEDIVERS"
"Stachys annua","vinedivers238","AT_VINEDIVERS"
"Stellaria media","vinedivers239","AT_VINEDIVERS"
"Taraxacum officinale agg.","vinedivers240","AT_VINEDIVERS"
"Teucrium chamaedrys","vinedivers241","AT_VINEDIVERS"
"Thlaspi perfoliatum","vinedivers242","AT_VINEDIVERS"
"Torilis arvensis","vinedivers243","AT_VINEDIVERS"
"Tragopogon dubius","vinedivers244","AT_VINEDIVERS"
"Tragopogon orientalis","vinedivers245","AT_VINEDIVERS"
"Tragopogon sp.","vinedivers246","AT_VINEDIVERS"
"Trifolium arvense","vinedivers247","AT_VINEDIVERS"
"Trifolium hybridum","vinedivers248","AT_VINEDIVERS"
"Trifolium incarnatum","vinedivers249","AT_VINEDIVERS"
"Trifolium pratense","vinedivers250","AT_VINEDIVERS"
"Trifolium repens","vinedivers251","AT_VINEDIVERS"
"Tripleurospermum inodorum","vinedivers252","AT_VINEDIVERS"
"Urtica urens","vinedivers253","AT_VINEDIVERS"
"Valerianella carinata","vinedivers254","AT_VINEDIVERS"
"Valerianella sp.","vinedivers255","AT_VINEDIVERS"
"Verbascum phoeniceum","vinedivers256","AT_VINEDIVERS"
"Verbena officinalis","vinedivers257","AT_VINEDIVERS"
"Veronica arvensis","vinedivers258","AT_VINEDIVERS"
"Veronica chamaedrys","vinedivers259","AT_VINEDIVERS"
"Veronica hederifolia","vinedivers260","AT_VINEDIVERS"
"Veronica persica","vinedivers261","AT_VINEDIVERS"
"Veronica polita","vinedivers262","AT_VINEDIVERS"
"Veronica sp.","vinedivers263","AT_VINEDIVERS"
"Veronica triphyllos","vinedivers264","AT_VINEDIVERS"
"Vicia angustifolia","vinedivers265","AT_VINEDIVERS"
"Vicia cracca","vinedivers266","AT_VINEDIVERS"
"Vicia hirsuta","vinedivers267","AT_VINEDIVERS"
"Vicia hybrida","vinedivers268","AT_VINEDIVERS"
"Vicia pannonica","vinedivers269","AT_VINEDIVERS"
"Vicia sativa","vinedivers270","AT_VINEDIVERS"
"Vicia sepium","vinedivers271","AT_VINEDIVERS"
"Vicia sp.","vinedivers272","AT_VINEDIVERS"
"Viola arvensis","vinedivers273","AT_VINEDIVERS"
"Vitis vinifera","vinedivers274","AT_VINEDIVERS"
"Vulpia bromoides","vinedivers275","AT_VINEDIVERS"
"Xanthium strumarium s.l.","vinedivers276","AT_VINEDIVERS"
"Achillea millefolium",NA,"AT_VIN_SECBIVIT"
"Acinos arvensis",NA,"AT_VIN_SECBIVIT"
"Agrostemma githago",NA,"AT_VIN_SECBIVIT"
"Ailanthus altissima",NA,"AT_VIN_SECBIVIT"
"Allium scorodoprasum",NA,"AT_VIN_SECBIVIT"
"Alopecurus pratensis",NA,"AT_VIN_SECBIVIT"
"Alyssum alyssoides",NA,"AT_VIN_SECBIVIT"
"Alyssum montanum",NA,"AT_VIN_SECBIVIT"
"Amaranthus powellii",NA,"AT_VIN_SECBIVIT"
"Amaranthus retroflexus",NA,"AT_VIN_SECBIVIT"
"Ambrosia artemisiifolia",NA,"AT_VIN_SECBIVIT"
"Anchusa arvensis",NA,"AT_VIN_SECBIVIT"
"Anchusa officinalis",NA,"AT_VIN_SECBIVIT"
"Anthemis austriaca",NA,"AT_VIN_SECBIVIT"
"Arctium lappa",NA,"AT_VIN_SECBIVIT"
"Arenaria serpyllifolia",NA,"AT_VIN_SECBIVIT"
"Arrhenatherum elatius",NA,"AT_VIN_SECBIVIT"
"Artemisia absinthium",NA,"AT_VIN_SECBIVIT"
"Artemisia vulgaris",NA,"AT_VIN_SECBIVIT"
"Atriplex cf. Patula",NA,"AT_VIN_SECBIVIT"
"Avena sativa",NA,"AT_VIN_SECBIVIT"
"Ballota nigra",NA,"AT_VIN_SECBIVIT"
"Berteroa incana",NA,"AT_VIN_SECBIVIT"
"Brassica napus",NA,"AT_VIN_SECBIVIT"
"Bromus benekenii",NA,"AT_VIN_SECBIVIT"
"Bromus erectus",NA,"AT_VIN_SECBIVIT"
"Bromus hordeaceus",NA,"AT_VIN_SECBIVIT"
"Bromus inermis",NA,"AT_VIN_SECBIVIT"
"Bromus ramosus",NA,"AT_VIN_SECBIVIT"
"Bromus sp.",NA,"AT_VIN_SECBIVIT"
"Bromus sterilis",NA,"AT_VIN_SECBIVIT"
"Bromus tectorum",NA,"AT_VIN_SECBIVIT"
"Buglossoides arvensis",NA,"AT_VIN_SECBIVIT"
"Calamagrostis epigejos",NA,"AT_VIN_SECBIVIT"
"Camelina sativa",NA,"AT_VIN_SECBIVIT"
"Capsella bursa-pastoris",NA,"AT_VIN_SECBIVIT"
"Carduus acanthoides",NA,"AT_VIN_SECBIVIT"
"Centaurea cyanus",NA,"AT_VIN_SECBIVIT"
"Centaurea scabiosa",NA,"AT_VIN_SECBIVIT"
"Cerastium brachypetalum",NA,"AT_VIN_SECBIVIT"
"Cerastium glomeratum",NA,"AT_VIN_SECBIVIT"
"Cerastium pumilum",NA,"AT_VIN_SECBIVIT"
"Cerastium semidecandrum",NA,"AT_VIN_SECBIVIT"
"Cerastium sp.",NA,"AT_VIN_SECBIVIT"
"Morus nigra",NA,"AT_VIN_SECBIVIT"
"Viburnum sp.",NA,"AT_VIN_SECBIVIT"
"Chenopodium album agg.",NA,"AT_VIN_SECBIVIT"
"Chenopodium hybridum",NA,"AT_VIN_SECBIVIT"
"Chondrilla juncea",NA,"AT_VIN_SECBIVIT"
"Cichorium intybus",NA,"AT_VIN_SECBIVIT"
"Cirsium arvense",NA,"AT_VIN_SECBIVIT"
"Cirsium vulgare",NA,"AT_VIN_SECBIVIT"
"Consolida regalis",NA,"AT_VIN_SECBIVIT"
"Convolvulus arvensis",NA,"AT_VIN_SECBIVIT"
"Conyza canadensis",NA,"AT_VIN_SECBIVIT"
"Coriandrum sativum",NA,"AT_VIN_SECBIVIT"
"Crataegus monogyna",NA,"AT_VIN_SECBIVIT"
"Crepis foetida",NA,"AT_VIN_SECBIVIT"
"Crepis setosa",NA,"AT_VIN_SECBIVIT"
"Crepis sp.",NA,"AT_VIN_SECBIVIT"
"Dactylis glomerata",NA,"AT_VIN_SECBIVIT"
"Datura stramonium",NA,"AT_VIN_SECBIVIT"
"Daucus carota",NA,"AT_VIN_SECBIVIT"
"Descurainia sophia",NA,"AT_VIN_SECBIVIT"
"Digitaria sanguinalis",NA,"AT_VIN_SECBIVIT"
"Diplotaxis muralis",NA,"AT_VIN_SECBIVIT"
"Dipsacus fullonum",NA,"AT_VIN_SECBIVIT"
"Draba verna",NA,"AT_VIN_SECBIVIT"
"Echinochloa crus-galli",NA,"AT_VIN_SECBIVIT"
"Echium vulgare",NA,"AT_VIN_SECBIVIT"
"Elymus repens",NA,"AT_VIN_SECBIVIT"
"Erigeron annuus",NA,"AT_VIN_SECBIVIT"
"Erodium cicutarium",NA,"AT_VIN_SECBIVIT"
"Euonymus europaeus",NA,"AT_VIN_SECBIVIT"
"Euphorbia helioscopia",NA,"AT_VIN_SECBIVIT"
"Fagopyrum esculentum",NA,"AT_VIN_SECBIVIT"
"Falcaria vulgaris",NA,"AT_VIN_SECBIVIT"
"Festuca arundinacea",NA,"AT_VIN_SECBIVIT"
"Festuca rubra agg.",NA,"AT_VIN_SECBIVIT"
"Filago vulgaris",NA,"AT_VIN_SECBIVIT"
"Foeniculum vulgare",NA,"AT_VIN_SECBIVIT"
"Fraxinus sp.",NA,"AT_VIN_SECBIVIT"
"Fumaria officinalis",NA,"AT_VIN_SECBIVIT"
"Fumaria rostellata",NA,"AT_VIN_SECBIVIT"
"Gagea villosa",NA,"AT_VIN_SECBIVIT"
"Galium aparine",NA,"AT_VIN_SECBIVIT"
"Geranium dissectum",NA,"AT_VIN_SECBIVIT"
"Geranium pusillum",NA,"AT_VIN_SECBIVIT"
"Holosteum umbellatum",NA,"AT_VIN_SECBIVIT"
"Hordeum murinum",NA,"AT_VIN_SECBIVIT"
"Hordeum vulgare",NA,"AT_VIN_SECBIVIT"
"Hypericum perforatum",NA,"AT_VIN_SECBIVIT"
"Hyssopus officinalis",NA,"AT_VIN_SECBIVIT"
"Isatis tinctoria",NA,"AT_VIN_SECBIVIT"
"Knautia arvensis",NA,"AT_VIN_SECBIVIT"
"Lactuca saligna",NA,"AT_VIN_SECBIVIT"
"Lactuca serriola",NA,"AT_VIN_SECBIVIT"
"Lamium amplexicaule",NA,"AT_VIN_SECBIVIT"
"Lamium purpureum",NA,"AT_VIN_SECBIVIT"
"Lathyrus pratensis",NA,"AT_VIN_SECBIVIT"
"Lathyrus sativus",NA,"AT_VIN_SECBIVIT"
"Lathyrus tuberosus",NA,"AT_VIN_SECBIVIT"
"Lepidium draba",NA,"AT_VIN_SECBIVIT"
"Leucanthemum vulgare",NA,"AT_VIN_SECBIVIT"
"Lolium perenne",NA,"AT_VIN_SECBIVIT"
"Lotus corniculatus",NA,"AT_VIN_SECBIVIT"
"Lysimachia vulgaris",NA,"AT_VIN_SECBIVIT"
"Malva neglecta",NA,"AT_VIN_SECBIVIT"
"Malva sylvestris",NA,"AT_VIN_SECBIVIT"
"Matricaria discoidea",NA,"AT_VIN_SECBIVIT"
"Medicago lupulina",NA,"AT_VIN_SECBIVIT"
"Medicago minima",NA,"AT_VIN_SECBIVIT"
"Medicago sativa",NA,"AT_VIN_SECBIVIT"
"Melica transsilvanica",NA,"AT_VIN_SECBIVIT"
"Melilotus officinalis",NA,"AT_VIN_SECBIVIT"
"Mercurialis annua",NA,"AT_VIN_SECBIVIT"
"Muscari neglectum",NA,"AT_VIN_SECBIVIT"
"Myosotis ramosissima",NA,"AT_VIN_SECBIVIT"
"Nigella arvensis",NA,"AT_VIN_SECBIVIT"
"Odontites verna",NA,"AT_VIN_SECBIVIT"
"Oenothera biennis",NA,"AT_VIN_SECBIVIT"
"Onobrychis viciifolia",NA,"AT_VIN_SECBIVIT"
"Onopordum acanthium",NA,"AT_VIN_SECBIVIT"
"Origanum vulgare",NA,"AT_VIN_SECBIVIT"
"Ornithogalum boucheanum",NA,"AT_VIN_SECBIVIT"
"Ornithogalum umbellatum",NA,"AT_VIN_SECBIVIT"
"Panicum miliaceum",NA,"AT_VIN_SECBIVIT"
"Papaver dubium",NA,"AT_VIN_SECBIVIT"
"Papaver rhoeas",NA,"AT_VIN_SECBIVIT"
"Pastinaca sativa",NA,"AT_VIN_SECBIVIT"
"Petrorhagia prolifera",NA,"AT_VIN_SECBIVIT"
"Petroselinum crispum",NA,"AT_VIN_SECBIVIT"
"Phacelia tanacetifolia",NA,"AT_VIN_SECBIVIT"
"Phleum pratense",NA,"AT_VIN_SECBIVIT"
"Picris hieracioides",NA,"AT_VIN_SECBIVIT"
"Pisum sativum",NA,"AT_VIN_SECBIVIT"
"Plantago lanceolata",NA,"AT_VIN_SECBIVIT"
"Plantago major",NA,"AT_VIN_SECBIVIT"
"Plantago media",NA,"AT_VIN_SECBIVIT"
"Poa angustifolia",NA,"AT_VIN_SECBIVIT"
"Poa annua",NA,"AT_VIN_SECBIVIT"
"Poa bulbosa",NA,"AT_VIN_SECBIVIT"
"Poa pratensis",NA,"AT_VIN_SECBIVIT"
"Polygonum aviculare",NA,"AT_VIN_SECBIVIT"
"Potentilla recta",NA,"AT_VIN_SECBIVIT"
"Prunus sp.",NA,"AT_VIN_SECBIVIT"
"Ranunculus ficaria",NA,"AT_VIN_SECBIVIT"
"Raphanus sativus",NA,"AT_VIN_SECBIVIT"
"Reseda lutea",NA,"AT_VIN_SECBIVIT"
"Rosa canina",NA,"AT_VIN_SECBIVIT"
"Rubus sp.",NA,"AT_VIN_SECBIVIT"
"Rumex acetosa",NA,"AT_VIN_SECBIVIT"
"Rumex crispus",NA,"AT_VIN_SECBIVIT"
"Rumex patientia",NA,"AT_VIN_SECBIVIT"
"Rumex sp.",NA,"AT_VIN_SECBIVIT"
"Rumex thyrsiflorus",NA,"AT_VIN_SECBIVIT"
"Sanguisorba minor",NA,"AT_VIN_SECBIVIT"
"Sclerochloa dura",NA,"AT_VIN_SECBIVIT"
"Secale cereale",NA,"AT_VIN_SECBIVIT"
"Senecio vulgaris",NA,"AT_VIN_SECBIVIT"
"Setaria pumila",NA,"AT_VIN_SECBIVIT"
"Setaria viridis",NA,"AT_VIN_SECBIVIT"
"Silene latifolia",NA,"AT_VIN_SECBIVIT"
"Silene vulgaris",NA,"AT_VIN_SECBIVIT"
"Sinapis alba",NA,"AT_VIN_SECBIVIT"
"Sinapis arvensis",NA,"AT_VIN_SECBIVIT"
"Sisymbrium loeselii",NA,"AT_VIN_SECBIVIT"
"Sisymbrium orientale",NA,"AT_VIN_SECBIVIT"
"Solanum nigrum",NA,"AT_VIN_SECBIVIT"
"Solanum villosum",NA,"AT_VIN_SECBIVIT"
"Sonchus asper",NA,"AT_VIN_SECBIVIT"
"Sonchus oleraceus",NA,"AT_VIN_SECBIVIT"
"Stellaria media",NA,"AT_VIN_SECBIVIT"
"Taraxacum officinale agg.",NA,"AT_VIN_SECBIVIT"
"Thymus sp.",NA,"AT_VIN_SECBIVIT"
"Tordylium maximum",NA,"AT_VIN_SECBIVIT"
"Torilis arvensis",NA,"AT_VIN_SECBIVIT"
"Tragopogon dubius",NA,"AT_VIN_SECBIVIT"
"Trifolium dubium",NA,"AT_VIN_SECBIVIT"
"Trifolium hybridum",NA,"AT_VIN_SECBIVIT"
"Trifolium incarnatum",NA,"AT_VIN_SECBIVIT"
