"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectanceperiphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Plant.height_m_BIEN","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","SLA.mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.UV.reflectance_Biolflor","Seed.mass_mg_Biolflor","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Acer platanoides","Acer platanoides",0.04615,1.3308,0.69843,0.15019,0.18685,0.01233,0.11235,"Acer platanoides",4.7,5.6,6.3,6.5,0,5.8,"Acer platanoides","4","Anemochory",23.9983333333333,122.626,"Acer platanoides","Européen","Jaune","Anémochore","4-5","Corymbe","Anémogame","Acer platanoides","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer platanoides","Green",5748.38,15.3094840467304,13.457,274,23.6420028571429,"4",156.68577025,15.6747082251082,NA,NA,NA,NA,"Acer platanoides","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,51.93767,"Perennial","C3",30,21.25,NA,NA,NA,0.137714779333333,196.55,NA,NA,NA,NA,"Acer platanoides",30,NA,"Acer platanoides",11.5,NA,"""acer platanoides l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer pseudoplatanus","Acer pseudoplatanus",0.0706,1.32057,0.68705,0.16985,0.18337,0.02196,0.11293,"Acer pseudoplatanus",4.7,NA,6.6,5.8,0,NA,"Acer pseudoplatanus","4","Anemochory",30.1563888888889,105.918133332333,"Acer pseudoplatanus","Européen","Vert","Anémochore","5","Racème de cymes unipares scorpioïdes","Anémogame","Acer pseudoplatanus","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer pseudoplatanus","Green",8365.18,14.6957418110658,11.8935,262.5,27.1,"5",93.3927255384615,16.100989010989,NA,NA,NA,NA,"Acer pseudoplatanus","Anemochorous","Anemochorous",NA,0.5,0.4,NA,NA,"Panicle",83.65175,"Perennial","C3",40,21.9333333333333,"Biotic","Insect",NA,0.0946594776,166.8,NA,NA,NA,NA,"Acer pseudoplatanus",24,30.6,"Acer pseudoplatanus",11.5,NA,"""acer pseudoplatanus l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer rubrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Introduit (amér. du nord)",NA,"Anémochore",NA,NA,"Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red",6912.14248571429,20.5199952509436,11.1624545454545,NA,16.9414722222222,NA,22.7645646666667,14.8739035268994,NA,NA,NA,NA,"Acer rubrum","Anemochorous",NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",25,24.52,NA,NA,NA,0.0199320625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea","Achillea ligustica_Achillea millefolium aggr._Achillea nobilis_Achillea odorata_Achillea pannonica_Achillea ptarmica_Achillea setacea",1.07628571428571,1.79638,0.549007142857143,0.457171428571429,0.300504285714286,0.619054285714286,0.215675714285714,"Achillea ligustica_Achillea millefolium aggr._Achillea nobilis_Achillea odorata_Achillea pannonica_Achillea ptarmica_Achillea setacea",8.01428571428571,3.82857142857143,2.23333333333333,6.45714285714286,0.333333333333333,6.76666666666667,"Achillea collina_Achillea ligustica_Achillea millefolium_Achillea nobilis_Achillea odorata_Achillea ptarmica","2","Local non-specific dispersal",0.55297,0.18264224074074,"Achillea collina_Achillea ligustica_Achillea millefolium_Achillea nobilis_Achillea nobilis subsp. nobilis_Achillea odorata_Achillea ptarmica","Eurasiatique_Eurasiatique méridional_Eurasiatique septentrional_Européen central_Méditerranéen occidental","Blanc","Anémochore","6-7_6-9_7-8_7-9","Corymbe de capitules","Entomogame","Achillea millefolium","White","Flowers with totally hidden nectar","Flower heads, asteraceae, ray and disk flowers",5.51,4.78,5.53,6.21,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Achillea millefolium","H","Csr","P","Achillea collina_Achillea millefolium_Achillea nobilis_Achillea ptarmica","White",1494.45810233441,17.2475936442975,14.7265169666667,197.774506293333,23.5668873666667,"5_6_6_7",0.203097405405405,0.466741247747973,"Achillea millefolium","Herb.perenn",22.97992053,"1","Achillea collina_Achillea ligustica_Achillea millefolium_Achillea nobilis_Achillea odorata_Achillea ptarmica",NA,NA,NA,NA,NA,NA,NA,NA,5.22496666666667,"Perennial","C3",0.9125,0.5478125,"Biotic","Insect","Insect",0.000145807,175.436666666667,"Achillea millefolium millefolium","Blanc","Autre",60,"Achillea millefolium_Achillea ptarmica",0.35125,0.18,"Achillea collina_Achillea millefolium_Achillea nobilis_Achillea ptarmica",3.5,NA,"""achillea millefolium l. subsp. millefolium ""_""achillea nobilis l.""_""achillea ptarmica l.""","5",4.73333333333333,4.73333333333333,12.4,"Achillea collina_Achillea millefolium_Achillea virescens","5","1",4,"5_6",39.6716666666667,0.59,"Pd",0.155909375,"10_9","Autumn_Late summer",155.2588458
"Achillea collina","Achillea pannonica_Achillea setacea",1.21278,1.84574,0.52748,0.48911,0.316375,0.62831,0.191475,"Achillea pannonica_Achillea setacea",8.1,3.25,1.8,6.75,0.55,6.75,"Achillea collina","2","Local non-specific dispersal",0.527,0.142066666666666,"Achillea collina","Européen central",NA,"Anémochore",NA,"Corymbe de capitules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea collina",NA,1037.49,19.338,NA,189.512,NA,"6",NA,0.57,NA,NA,NA,NA,"Achillea collina",NA,NA,NA,NA,NA,NA,NA,NA,10.3749,"Perennial","C3",0.6,0.55,"Biotic","Insect",NA,0.00014325,174,NA,NA,NA,NA,NA,NA,NA,"Achillea collina",NA,NA,NA,NA,NA,NA,NA,"Achillea collina",NA,NA,4,"6",58,0.8,NA,0.16,"10","Autumn",150
"Achillea ligustica","Achillea ligustica",0.20679,1.37224,0.66965,0.27769,0.25285,0.09174,0.14708,"Achillea ligustica",7.5,4,4.5,5.7,0,9,"Achillea ligustica","2","Local non-specific dispersal",0.58,0.2908,"Achillea ligustica","Méditerranéen occidental","Blanc","Anémochore",NA,"Corymbe de capitules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium aggr.",1.31363,1.93633,0.54139,0.51128,0.25085,0.8112,0.32953,"Achillea millefolium aggr.",7.9,4.1,NA,5.8,0.9,NA,"Achillea millefolium","2","Local non-specific dispersal",0.4591,0.164496777777777,"Achillea millefolium","Eurasiatique","Blanc","Anémochore","6-9","Corymbe de capitules","Entomogame","Achillea millefolium","White","Flowers with totally hidden nectar","Flower heads, asteraceae, ray and disk flowers",5.51,4.78,5.53,6.21,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Achillea millefolium","H","Csr","P","Achillea millefolium","White",3326.88430700323,15.1051027596197,14.7265169666667,190.81151888,23.5668873666667,"5_6",0.186194810810811,0.121964990991892,"Achillea millefolium","Herb.perenn",22.97992053,"1","Achillea millefolium",NA,NA,NA,NA,NA,NA,NA,NA,4.11,"Perennial","C3",1.2,0.65375,"Biotic","Insect","Insect",0.000179285,189.35,"Achillea millefolium millefolium","Blanc","Autre",60,"Achillea millefolium",0.3025,0.16,"Achillea millefolium",3.5,NA,"""achillea millefolium l. subsp. millefolium ""","5",4.8,4.8,14.3,"Achillea millefolium","5","1",5,"5",31.015,0.38,"Pd",0.15181875,"10","Autumn",160.5176916
"Achillea nobilis","Achillea nobilis",1.04194,1.78688,0.53747,0.48291,0.3314,0.55372,0.19983,"Achillea nobilis",8,3.7,1.3,8,0,6.9,"Achillea nobilis","2","Local non-specific dispersal",0.405,0.115266666666666,"Achillea nobilis","Eurasiatique méridional","Blanc","Anémochore","7-8","Corymbe de capitules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea nobilis",NA,NA,NA,NA,NA,NA,"6",NA,0.4,NA,NA,NA,NA,"Achillea nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",0.6,0.4,"Biotic","Insect",NA,6.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea nobilis",NA,NA,"""achillea nobilis l.""","5",3.4,3.4,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea nobilis subsp. nobilis","Achillea nobilis",1.04194,1.78688,0.53747,0.48291,0.3314,0.55372,0.19983,"Achillea nobilis",8,3.7,1.3,8,0,6.9,"Achillea nobilis","2","Local non-specific dispersal",0.405,0.115266666666666,"Achillea nobilis subsp. nobilis","Eurasiatique méridional","Blanc","Anémochore","7-8","Corymbe de capitules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea nobilis",NA,NA,NA,NA,NA,NA,"6",NA,0.4,NA,NA,NA,NA,"Achillea nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",0.6,0.4,"Biotic","Insect",NA,6.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea nobilis",NA,NA,"""achillea nobilis l.""","5",3.4,3.4,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea odorata","Achillea odorata",0.94374,1.90408,0.52574,0.44667,0.39574,0.57641,0.23188,"Achillea odorata",9,1,1,8,NA,6,"Achillea odorata","2","Local non-specific dispersal",NA,0.08684,"Achillea odorata","Méditerranéen occidental","Blanc","Anémochore","6-7","Corymbe de capitules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea virescens",NA,NA,3,"6",30,NA,NA,NA,"9","Late summer",NA
